Regions,Admis,Nb Candidats
DAKAR,18134,44066
DIOURBEL,3139,7625
FATICK,2972,8274
KAFFRINE,696,2423
KAOLACK,4132,11733
KEDOUGOU,420,1265
KOLDA,1627,6430
LOUGA,2327,6059
MATAM,1287,2691
SAINT LOUIS,3644,10817
SEDHIOU,1197,4984
TAMBACOUNDA,1373,4547
THIES,9383,23063
ZIGUINCHOR,4187,15461
