Regions,Admis,Nb Candidats
DAKAR,15272,40879
DIOURBEL,1866,5422
FATICK,1992,5603
KAFFRINE,372,1667
KAOLACK,2737,8806
KEDOUGOU,204,896
KOLDA,973,5193
LOUGA,1439,4644
MATAM,856,1961
SAINT LOUIS,2837,8727
SEDHIOU,715,3764
TAMBACOUNDA,890,3308
THIES,6430,18901
ZIGUINCHOR,3030,14829
