Regions,Admis,Nb Candidats
DAKAR,15672,45453
DIOURBEL,2440,6748
FATICK,2506,7264
KAFFRINE,541,2129
KAOLACK,3211,10795
KEDOUGOU,251,1141
KOLDA,1383,6643
LOUGA,1911,5669
MATAM,914,2385
SAINT LOUIS,3107,10106
SEDHIOU,935,4762
TAMBACOUNDA,1164,4319
THIES,7784,22214
ZIGUINCHOR,3501,16608
