Regions,Admis,Nb Candidats
DAKAR,15771,37802
DIOURBEL,1892,4624
FATICK,2066,4504
KAFFRINE,438,1297
KAOLACK,2581,6838
KEDOUGOU,278,802
KOLDA,983,4076
LOUGA,1748,3975
MATAM,681,1406
SAINT LOUIS,2728,6997
SEDHIOU,952,3410
TAMBACOUNDA,1189,2765
THIES,6347,15834
ZIGUINCHOR,3899,13666
